numero;intervenant;nature_chantier;nature_travaux;etat;date_debut;date_fin;mesures_police;last_update;adresse;commune;code_insee;contact_tel;contact_mail;contact_url;gid
202206858;LYON - Direction De La Construction;Travaux sur une parcelle en limite d'espace public;Renfort chaussée en vue de la pose d'une grue;Ouvert;2024-06-03;2028-12-31;;2025-02-07 09:02:15.051362+01:00;10 rue Neyret, 69001  Rue des Tables Claudiennes, 69001;Lyon 1er;69381;;;;183025
202512731;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Intervention sur des chambres, boites, armoires impactant le domaine public (télécom ou video);Validé;2025-12-24;2026-01-07;Circulation alternée, Restriction de jour;2025-12-16 15:02:03.127680+01:00;Face au 10 Route du Bruissin (Francheville);Francheville;69089;;;;199942
202512882;DCE / RT / Rive Gauche;Émergences et autres équipements d'assainissement;Remise à niveau / entretien des tampons et émergences d'assainissement;Validé;2025-12-15;2026-01-16;;2025-12-04 12:02:37.539147+01:00; Avenue d'Oschatz, de Rue Gaston Monmousseau a Avenue Marcel Cachin (Vénissieux);Venissieux;69259;04 28 67 55 00;;;199946
202512887;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Réparation de branchement < 25 ml (télécom ou video);Validé;2025-12-12;2026-01-19;;2025-12-04 12:02:38.122193+01:00;à côté 3 Chemin de Chantegrillet (Francheville);Francheville;69089;;;;199947
202513013;DCE / RT / Rive Droite Sud;Construction, renouvellement et réparation réseau d'assainissement;Réparation de canalisation d'assainissement;Validé;2025-12-08;2025-12-19;;2025-12-04 12:02:38.969904+01:00;35 Rue Pierre Dupont (Lyon 1er Arrondissement);Lyon 1er;69381;04 28 67 55 20;;;199954
202513033;EAU DU GRAND LYON - LA REGIE ENTRETIEN;Construction, renouvellement et réparation réseau eau potable;Réparation de canalisation eau potable;Ouvert;2025-12-03;2025-12-28;;2025-12-04 12:02:38.962363+01:00;Boulevard de la Bataille de Stalingrad (Villeurbanne);Villeurbanne;69266;09 69 39 69 99;;;199955
202513055;DCE / RT / Rive Gauche;Émergences et autres équipements eau pluviale;Construction / Suppression Ouvrage de recueillis avec branchement;Validé;2025-12-15;2026-01-23;;2025-12-04 12:02:38.651237+01:00;21 Allée du Château (Mions);Mions;69283;04 28 67 55 00;;;199957
202513065;DCE / RT / Rive Droite Sud;Construction, renouvellement et réparation réseau d'assainissement;Réparation de canalisation d'assainissement;Validé;2025-12-15;2025-12-26;;2025-12-04 12:02:37.586403+01:00;Rue Joséphin Soulary (Lyon 4e Arrondissement);Lyon 4ème;69384;04 28 67 55 20;;;199958
202509635;LYON PARC AUTO;Création / aménagement de parking;Création / aménagement de parking aérien;Ouvert;2025-10-01;2026-01-31;;2025-12-04 15:02:17.203390+01:00;Rue des Tables Claudiennes (LYON 1);Lyon 1er;69381;;;;199960
202512771;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Branchements eau potable < à 25 ml;Construction branchement eau potable < 25 ml;Validé;2025-12-01;2026-01-30;;2025-12-16 15:02:03.910029+01:00;1 Chemin de la Mansion (Tassin-la-Demi-Lune);Tassin la Demi Lune;69244;09 69 39 69 99;;;199943
202512892;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Réparation de branchement < 25 ml (télécom ou video);Validé;2025-12-15;2026-01-23;;2025-12-16 15:02:03.892182+01:00;Face au 202 Voie Romaine (Tassin-la-Demi-Lune);Tassin la Demi Lune;69244;;;;199948
202513014;DCE / RT / Rive Gauche;Branchements d'assainissement < à 25 ml;Réparation branchement d'assainissement  < 25 ml;Validé;2026-01-01;2026-01-31;;2025-12-08 12:02:48.029462+01:00;4 Allée du Textile (Vaulx-en-Velin);Vaulx en Velin;69256;04 28 67 55 00;;;200101
202406244;SPL LYON PART DIEU;Création / aménagement d'espace public;Création / aménagement dessertes des grands équipements;Ouvert;2024-07-02;2025-12-31;;2025-02-27 09:06:09.785404+01:00;Du 53 Boulevard Marius Vivier-Merle jusqu'à la Place Charles Beraudier (Lyon 3ème Arrondissement);Lyon 3ème;69383;;;;184053
202301027;AOMTL (SYTRAL Mobilités);Aménagement pour les transports en commun;Création / aménagement de voie Bus / Tram;Ouvert;2023-01-23;2026-08-31;;2025-12-16 15:02:03.614237+01:00;du 156 AU 211 Route de Genas 69100 VILLEURBANNE;Villeurbanne;69266;;;;135903
202511088;EAU DU GRAND LYON - LA REGIE ENTRETIEN;Émergences et autres équipements eau potable;Pose d'appareillage hydraulique (Hydrant, bouches à clef);Ouvert;2025-11-07;2025-12-19;;2025-11-12 12:02:37.746694+01:00;au 42 Boulevard des Canuts (Lyon 4ème Arrondissement);Lyon 4ème;69384;09 69 39 69 99;;;198575
202214899;TSU / TOS / VTPO-O4;Création et entretien de trottoir;Création / aménagement de trottoir;Ouvert;2025-11-12;2025-12-31;;2025-11-12 15:02:15.565420+01:00;35 ch des églantines;Marcy l'Etoile;69127;04 28 67 60 60;;;198580
202507345;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Construction, renouvellement et réparation réseau eau potable;Entretien, intervention sur canalisation eau potable;Validé;2025-10-20;2025-12-31;;2025-12-16 15:02:03.294143+01:00;Route de Lyon (Feyzin);Feyzin;69276;09 69 39 69 99;;;195911
202501197;TSU / TCO / VTPCN-CN3;Arbres et paysages;Plantations d'arbres, arbustes et couvre sol;Ouvert;2025-10-13;2026-02-27;;2025-10-17 15:02:14.625450+02:00;face au 23-29 Boulevard de la Croix-Rousse (Lyon 1er Arrondissement);Lyon 1er;69381;04.28.67.51.20;;;194625
202308802;AOMTL (SYTRAL Mobilités);Aménagement pour les transports en commun;Création / aménagement de voie Bus / Tram;Ouvert;;2023-09-25;Circulation réduite, Restriction de jour, Restriction de nuit, Stationnement interdit, Trottoir interdit;2025-12-16 15:02:03.134982+01:00;-Avenue de la République : Entre l'Allée Picard et la Rue Germaine Tillion, -Carrefour : Rue Norbert Kügler / Avenue Pierre Sémard / Avenue de la République (Saint-Fons, Vénissieux);Venissieux;69259;;;;148426
202412038;TSU / TCO / VTPCS-CS3;Aménagements sécurisés;Création / aménagement de zones de circulation apaisée (piétonne, rencontre, 30);Ouvert;2025-01-01;2026-12-31;;2025-09-09 18:01:57.935245+02:00;Du 2 au 10 Rue de la Concorde lyon 8 de façades à façades.;Lyon 8ème;69388;04 78 95 67 20;;;194649
202400670;MOU / Projets Urbains;Création / aménagement d'espace public;Création / aménagement espace public  (Places, ZAC, ...);Ouvert;2025-10-23;2025-12-31;Circulation en sens unique, Restriction de jour, Restriction de nuit;2025-12-16 15:02:03.637100+01:00;Du 39 avenue de Verdun à la route d'Ecully, du 3 allée de l'Aqueduc à l'avenue de Verdun, du 3 rue de la Poste à l'avenue de Verdun, du 3 chemin Neuf à l'avenue de Verdun et Chemin de la Nouvelle Liasse du sentier des Pierres Dorées à l'avenue de Verdun (Dardilly);Dardilly;69072;;;https://www.grandlyon.com/pratique/nous-contacter;161422
202501328;TSU / TCE / VTPCE-CE2;Aménagements sécurisés;Aménagement sécurité au droit des lieux publics;Validé;2025-11-03;2025-12-19;;2025-09-30 15:02:15.567773+02:00;Rue Louise (entre Rue Ferdinand Buisson et Carrefour Rue Ferdinand Buisson/Avenue du Château) à (Lyon 3e Arrondissement);Lyon 3ème;69383;04 69 64 51 00;;;195932
202511819;SAINTE FOY LÈS LYON-Intervenant;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Construction de branchement < 25 ml (télécom ou video);Validé;2025-11-24;2025-12-23;;2025-12-16 15:02:03.830575+01:00;Avenue Valioud (Sainte-Foy-lès-Lyon), sur le trottoir / angle Rue du Château.;Sainte Foy les Lyon;69202;;;;198414
202113252;AOMTL (SYTRAL Mobilités);Aménagement pour les transports en commun;Création / aménagement de voie Bus / Tram;Ouvert;2023-07-01;2025-12-31;;2025-12-16 15:02:03.640007+01:00;Projet T10 SYTRAL Avenue Tony Garnier du 1 au 85;Lyon 7ème;69387;;;;181612
202203494;TSU / TCO / VTPCS-CS3;Arbres et paysages;Plantations d'arbres, arbustes et couvre sol;Ouvert;2024-04-29;2025-12-31;;2025-01-16 15:02:01.301884+01:00;St Nestor / Gervais;Lyon 8ème;69388;04 78 95 67 20;;;181366
202512300;TSU / TOS / VTPO-O2;Entretien des chaussées;Entretien de chaussée;Ouvert;2025-12-09;2025-12-19;Circulation interdite, Restriction de jour, Stationnement interdit, Trottoir interdit;2025-12-12 15:02:08.487185+01:00;entre le 20 Rue Marcel Plasse, et le Pont (Craponne);Craponne;69069;04 28 67 60 60;;;199969
202000944;MOU / Projets Urbains;Création / aménagement d'espace public;Création / aménagement espace public  (Places, ZAC, ...);Ouvert;2024-03-31;2025-12-31;;2025-12-16 15:02:03.089282+01:00;-Du carrefour Avenue de Verdun / Route d'Ecully en passant par le Chemin de la Liasse jusqu'à 30m au Nord du carrefour Allée de l'Aurore / Chemin de la Liasse, -Chemin de la Nouvelle Liasse : Du carrefour Allée de l'Aurore sur 135m au Sud (Dardilly);Dardilly;69072;;;https://www.grandlyon.com/pratique/nous-contacter;164473
202512332;ENEDIS;Émergences et divers équipements électriques;Intervention émergence ou d'équipement ponctuel électrique, tampon, armoire...;Validé;2026-01-01;2026-01-31;;2025-12-16 15:02:03.182530+01:00;21 Rue du Neyrard (Sainte-Foy-lès-Lyon);Sainte Foy les Lyon;69202;;;www.enedis.fr/aide_contact;199797
202510862;LYON - Eclairage Public;Construction, renouvellement et réparation réseau Eclairage Public;Construction de réseau éclairage public;Ouvert;2025-11-12;2026-03-27;;2025-12-16 15:02:03.128363+01:00;Rue des Jasmins (Lyon 8e Arrondissement), Rue Antoine Dumont;Lyon 8ème;69388;;;;198574
202511338;GrDF - Exploitation - LVR;Branchements gaz < 25 ml;Réparation branchement gaz  < 25 ml;Ouvert;2025-10-16;2026-01-06;;2025-12-16 15:02:03.090106+01:00;26 Chemin du Vieux Crépieux (Rillieux-la-Pape);Rillieux la Pape;69286;09 69 36 35 34;;;196848
202512989;DTEE ... DECI-Hydrants;Émergences et autres équipements eau potable;Pose d'appareillage hydraulique (Hydrant, bouches à clef);Validé;2025-12-04;2025-12-30;;2025-12-16 15:02:03.714434+01:00; 5 Rue Abbé Glasberg (Vénissieux) PEI 5232 ;Venissieux;69259;04 28 67 55 20;;;199951
202508946;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Ouvert;2025-09-19;2026-01-31;;2025-10-22 18:01:55.161645+02:00;En face du 223 Route de Genas sur la place Kimmerling (Villeurbanne);Bron;69029;;;www.enedis.fr/aide_contact;197198
202511661;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Ouvert;2025-12-11;2026-01-16;;2025-12-16 15:02:03.727728+01:00;4 Rue de Sévigné (Lyon 3e Arrondissement);Lyon 3ème;69383;;;www.enedis.fr/aide_contact;198492
202509702;LYON - Eclairage Public;Construction, renouvellement et réparation réseau Eclairage Public;Réparation de réseau éclairage public;Ouvert;2025-10-14;2025-12-19;;2025-12-16 15:02:03.604186+01:00;Au droit du n°89, Rue Docteur Edmond Locard, (Lyon 5ème Arrondissement);Lyon 5ème;69385;;;;194514
202504967;VILLEURBANNE - Paysage et Nature;Arbres et paysages;Aménagement végétalisé;Validé;2025-05-15;2027-12-31;;2025-05-09 12:02:09.755251+02:00;Place Joséphine Baker parcelle privée (Villeurbanne);Villeurbanne;69266;;;;188353
202510147;LYON - Eclairage Public;Construction, renouvellement et réparation réseau Eclairage Public;Réparation de réseau éclairage public;Ouvert;2025-10-03;2025-12-19;;2025-12-16 15:02:03.099203+01:00;Au droit du n°8, Avenue du Point du Jour (Lyon 5);Lyon 5ème;69385;;;;195182
202510155;DCE / RT / Rive Droite Sud;Branchements d'assainissement < à 25 ml;Construction branchement d'assainissement < 25 ml;Validé;2025-10-24;2025-12-19;;2025-12-16 15:02:03.962354+01:00;573 Rue de la Maçonnière (Charly);Charly;69046;04 28 67 55 20;;;195612
202508863;ORANGE SA;Branchements réseau > 25 ml TELECOM, RMT ET VIDEO;Construction de branchement > 25 ml (télécom ou video);Validé;2025-11-17;2026-01-16;;2025-11-13 12:02:26.608516+01:00;Face au 91 jusqu'à côté 57 Rue des Maures (Montanay);Montanay;69284;;;;198640
202203495;TSU / TCO / VTPCS-CS3;Arbres et paysages;Plantations d'arbres, arbustes et couvre sol;Ouvert;2024-04-01;2025-12-31;;2025-12-16 15:02:03.073658+01:00;Du 29 au 33 Rue Saint Nestor en traversant la Rue Saint-Maurice (Lyon 8ème Arrondissement);Lyon 8ème;69388;04 78 95 67 20;;;181369
202510267;IZIVIA FMET 1;Aménagement pour l'Autopartage ou Véhicules Électriques;Création / Entretien / Dépose de borne de rechargement;Validé;2025-11-12;2025-12-30;;2025-11-13 12:02:26.495929+01:00;Rue Antoine Charial (Lyon 3e Arrondissement);Lyon 3ème;69383;;;;198646
202510272;IZIVIA FMET 1;Aménagement pour l'Autopartage ou Véhicules Électriques;Création / Entretien / Dépose de borne de rechargement;Validé;2025-11-12;2025-12-29;;2025-11-13 12:02:26.441178+01:00;Avenue Leclerc (Lyon 7e Arrondissement);Lyon 7ème;69387;;;;198649
202400887;TSU / TCO / VTPCS-CS3;Aménagements sécurisés;Aménagement sécurité au droit des lieux publics;Ouvert;2025-04-14;2025-12-31;;2025-06-02 15:02:17.811704+02:00;Rue Antoine Dumont (Lyon 8e Arrondissement);Lyon 8ème;69388;04 78 95 67 20;;;189533
202510993;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Construction, renouvellement et réparation réseau eau potable;Construction de canalisation eau potable et branchement;Validé;2025-11-17;2025-12-31;;2025-11-13 12:02:25.625365+01:00;Avenue Edouard Aynard (Écully);Ecully;69081;09 69 39 69 99;;;198652
202511584;ENEDIS;Construction, renouvellement et réparation réseau électrique;Déplacement ou dévoiement de réseau électrique;Validé;2026-01-12;2026-01-26;;2025-11-13 12:02:25.496767+01:00;42 Rue Lieutenant Colonel Girard (Lyon 7e Arrondissement);Lyon 7ème;69387;;;www.enedis.fr/aide_contact;198656
202511662;ENEDIS;Branchements réseau électrique > 25 ml;Construction de branchement électrique > 25 ml;Ouvert;2025-12-11;2026-01-16;;2025-12-11 12:04:00.679107+01:00;Rue Servient, trottoir côté Préfecture, à l'angle avec Cours de la Liberté (Lyon 3e Arrondissement);Lyon 3ème;69383;;;www.enedis.fr/aide_contact;198658
202512063;EAU DU GRAND LYON - LA REGIE ENTRETIEN;Émergences et autres équipements eau potable;Remise à niveau d'appareils hydrauliques (Hydrant, bouches à clef);Validé;2025-11-06;2025-12-26;;2025-11-13 12:02:25.554809+01:00;Du 61 au 63 Avenue Tony Garnier (Lyon 7e Arrondissement);Lyon 7ème;69387;09 69 39 69 99;;;198669
202512172;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Intervention sur des chambres, boites, armoires impactant le domaine public (télécom ou video);Validé;2025-11-19;2025-12-26;;2025-11-13 12:02:26.573818+01:00;Face au 73 Grande Rue de la Croix-Rousse (Lyon 4ème Arrondissement);Lyon 4ème;69384;;;;198685
202510420;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Ouvert;2025-10-07;2025-12-24;;2025-10-23 09:02:03.724409+02:00;3331Avenue Sidoine Apollinaire (Lyon 9e Arrondissement);Lyon 9ème;69389;;;www.enedis.fr/aide_contact;197202
202512192;GrDF - Branchements;Branchements gaz < 25 ml;Suppression branchement gaz  < 25 ml;Ouvert;2025-12-08;2025-12-19;;2025-12-15 09:04:17.585552+01:00;au 13 Rue Sébastien Gryphe (Lyon 7ème Arrondissement);Lyon 7ème;69387;09 69 36 35 34;;;198690
202512196;DCE / RT / Rive Droite Sud;Branchements d'assainissement < à 25 ml;Réparation branchement d'assainissement  < 25 ml;Ouvert;2025-12-01;2026-01-30;;2025-12-01 09:02:19.670888+01:00;106-108 Boulevard de la Croix-Rousse (Lyon 1er et 4e Arrondissement);Lyon 1er;69381;04 28 67 55 20;;;198691
202512201;DACV / VP / Nature et Fleuves;Arbres et paysages;Renouvellement et remplacement d'arbres, arbustes et couvre sol;Validé;2025-12-01;2026-02-27;;2025-12-16 15:02:03.101332+01:00;Rue Victor Hugo (Neuville-sur-Saône);Neuville sur Saone;69143;;;https://www.grandlyon.com/pratique/nous-contacter;198693
202510578;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Branchements eau potable < à 25 ml;Construction branchement eau potable < 25 ml;Ouvert;2025-09-10;2025-12-26;;2025-09-30 15:02:16.153965+02:00;Rue de Bonnel	côté impairs de l'angle avec Rue Duguesclin à l'angle avec Rue Garibaldi (Lyon 3e Arrondissement);Lyon 3ème;69383;09 69 39 69 99;;;195943
202512210;TSU / TOS / VTPS-S1;Entretien des chaussées;Entretien de chaussée;Validé;2025-11-17;2025-12-17;;2025-11-13 12:02:26.342901+01:00; au 29 Rue Paul Bert (Saint-Fons);Saint Fons;69199;04 26 99 33 50;;;198697
202400903;TSU / TCO / VTPCS-CS3;Création et entretien de trottoir;Création / aménagement de trottoir;Ouvert;2025-01-13;2025-12-31;;2025-12-16 15:02:03.929643+01:00;Rue Rochambeau (Lyon 8e Arrondissement);Lyon 8ème;69388;04 78 95 67 20;;;181375
202512222;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Branchements eau potable < à 25 ml;Construction branchement eau potable < 25 ml;Validé;2025-12-08;2025-12-19;Circulation alternée, Circulation réduite, Restriction de jour, Stationnement interdit, Trottoir interdit;2025-11-20 18:02:05.838900+01:00;Du 46 au 128 Rue des Cerisiers (Genay);Genay;69278;09 69 39 69 99;;;198702
202116110;MOU / Espaces Publics Infrastructures;Création / aménagement d'espace public;Requalification / aménagement de voie;Ouvert;2025-01-06;2026-12-31;;2025-12-16 15:02:03.440588+01:00;- Place Ambroise Courtois (Lyon 8ème Arrondissement) - Rue du Premier Film (Lyon 8ème Arrondissement) : Entre Place Ambroise Courtois et  Rue Professeur Paul Sisley - Du 8 au 136 Avenue des Frères Lumière (Lyon 8ème Arrondissement);Lyon 8ème;69388;;;https://www.grandlyon.com/pratique/nous-contacter;179810
202511866;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Validé;2025-12-22;2025-12-31;Circulation alternée, Restriction de jour, Stationnement interdit;2025-12-16 15:02:03.336324+01:00;34 Chemin des Eglantines (Marcy-l'Étoile);Marcy l'Etoile;69127;;;www.enedis.fr/aide_contact;199721
202506217;ENEDIS;Construction, renouvellement et réparation réseau électrique;Aménagement, renouvellement réseau BTA avec branchement;Ouvert;2025-10-03;2025-12-31;;2025-12-16 15:02:03.075825+01:00;Du 78 Rue des Collonges, au 88 Rue des Collonges (Saint-Genis-Laval);Saint Genis Laval;69204;;;www.enedis.fr/aide_contact;193083
202210473;AOMTL (SYTRAL Mobilités);Aménagement pour les transports en commun;Création / aménagement de voie Bus / Tram;Ouvert;2024-08-05;2026-05-22;;2024-08-20 12:01:54.666144+02:00;Avenue Georges Dimitrov de la rue Émile Zola à la rue Robert Desnos (Vaulx-en-Velin);Vaulx en Velin;69256;;;;170428
202501094;ENEDIS;Construction, renouvellement et réparation réseau électrique;Aménagement, renouvellement réseau BTA avec branchement;Validé;2025-11-24;2026-01-30;;2025-12-16 15:02:03.148744+01:00;Du 2 au 74 Rue Christian Lacouture (Bron).;Bron;69029;;;www.enedis.fr/aide_contact;195409
202503016;SIGERLY Réseaux et Eclairage;Construction, renouvellement et réparation réseau électrique;Construction de réseau et branchement électrique;Ouvert;2025-07-15;2025-12-19;;2025-12-16 15:02:03.589597+01:00;Rue des Garennes (Saint-Priest);Saint Priest;69290;04 78 84 98 27;;;191657
202505367;DIEM / Ouvrage d'Art;Ouvrage d'art;Entretien / réfection mur de soutènement;Ouvert;2025-11-24;2026-02-15;;2025-12-16 15:02:03.638534+01:00;Face au 17 Montée de la Sarra (Lyon 5ème Arrondissement);Lyon 5ème;69385;;;https://www.grandlyon.com/pratique/nous-contacter;198709
202508589;ENEDIS;Construction, renouvellement et réparation réseau électrique;Aménagement, renouvellement réseau BTA avec branchement;Ouvert;2025-11-27;2025-12-31;;2025-12-16 15:02:03.937929+01:00;au 628 Rue du Musée (Rochetaillée-sur-Saône);Rochetaillee Sur Saone;69168;;;www.enedis.fr/aide_contact;197218
202512997;TSU / TCO / VTPCS-CS2;Stationnement;Création / aménagement de places de stationnement;Validé;2025-12-08;2025-12-19;;2025-12-16 15:02:03.503269+01:00;Entre le 122 et 130 Cours Gambetta (Lyon 3e et 7eArrondissement);Lyon 7ème;69387;04 78 95 67 20;;;199952
202513005;GrDF - Branchements;Branchements gaz < 25 ml;Construction branchement gaz < 25 ml;Validé;2025-12-17;2025-12-17;;2025-12-16 15:02:03.274685+01:00;20 Rue Billon (Villeurbanne);Villeurbanne;69266;09 69 36 35 34;;;199953
202513054;ENEDIS;Construction, renouvellement et réparation réseau électrique;Déplacement ou dévoiement de réseau électrique;Validé;2025-12-08;2026-01-09;;2025-12-16 15:02:03.522586+01:00;trottoir angle zola et Boulevard Laurent Gérin (Vénissieux);Venissieux;69259;;;www.enedis.fr/aide_contact;199956
202215078;AOMTL (SYTRAL Mobilités);Aménagement pour les transports en commun;Création / aménagement de voie Bus / Tram;Ouvert;2023-01-02;2026-06-30;;2025-12-16 15:02:03.801511+01:00;Rue Paul Verlaine (Villeurbanne);Villeurbanne;69266;;;;134284
202510187;TSU / TOS / VTPS-S3;Entretien des chaussées;Entretien de chaussée;Validé;2025-12-15;2025-12-19;;2025-12-05 12:02:27.782940+01:00;Esplanade Roger Long (Grigny);Grigny;69096;04 26 99 33 50;;;200012
202510953;DCE / RT / Rive Droite Sud;Branchements d'assainissement < à 25 ml;Construction branchement d'assainissement < 25 ml;Ouvert;2026-01-12;2026-01-15;Circulation alternée, Restriction de jour;2025-12-08 12:02:47.867818+01:00;Chemin des Ferratières (Charly);Charly;69046;04 28 67 55 20;;;200014
202509559;ORANGE SA;Branchements réseau < 25 ml TELECOM, RMT ET VIDEO;Construction de branchement < 25 ml (télécom ou video);Validé;2025-12-22;2026-01-02;Circulation alternée, Circulation réduite, Restriction de jour, Stationnement interdit;2025-12-16 15:02:03.276911+01:00;2 Chemin des Iles (Rillieux-la-Pape);Rillieux la Pape;69286;;;;198710
202511225;ENEDIS;Construction, renouvellement et réparation réseau électrique;Aménagement, renouvellement réseau HTA;Validé;2026-01-05;2026-02-20;;2025-12-05 12:02:27.623008+01:00;Oreille du trottoir angle Rue de la République et Rue Louis Pergaud (Chassieu);Chassieu;69271;;;www.enedis.fr/aide_contact;200018
202511735;ENEDIS;Branchements réseau électrique > 25 ml;Construction de branchement électrique > 25 ml;Validé;2026-01-05;2026-02-13;;2025-12-16 15:02:03.222117+01:00;12 Rue Joannès Carret (Lyon 9e Arrondissement);Lyon 9ème;69389;;;www.enedis.fr/aide_contact;200024
202511739;DTEE ... DECI-Hydrants;Émergences et autres équipements eau potable;Suppression d'appareillage hydraulique (Hydrant, bouches à clef);Ouvert;2025-12-05;2026-01-30;;2025-12-05 12:02:28.428753+01:00;angles Rues Docteur Bouchut et Rue Garibaldi (Lyon 3e Arrondissement) PI 345;Lyon 3ème;69383;04 28 67 55 20;;;197674
202501379;SIGERLY Réseaux et Eclairage;Construction, renouvellement et réparation réseau électrique;Construction de réseau et branchement électrique;Ouvert;2025-07-09;2026-04-03;;2025-12-16 15:02:03.923512+01:00;Rue de l'église (Saint-Germain-au-Mont-d'Or);Saint Germain Au Mont d'Or;69207;04 78 84 98 27;;;190678
202512177;GrDF - APPI (interventions planifiés);Branchements gaz < 25 ml;Construction branchement gaz < 25 ml;Validé;2026-01-05;2026-01-26;;2025-12-05 12:02:28.419525+01:00;268 Rue Duguesclin (Lyon 3ème Arrondissement);Lyon 3ème;69383;09 69 36 35 34;;;200028
202512263;DCE / RT / Rive Gauche;Branchements d'assainissement < à 25 ml;Construction branchement d'assainissement < 25 ml;Validé;2026-01-05;2026-01-30;;2025-12-05 12:02:28.716892+01:00;au niveau du n°13 Rue de la Soie (Villeurbanne);Villeurbanne;69266;04 28 67 55 00;;;200031
202512447;AOMTL (SYTRAL Mobilités);Sondages;Sondage mécanique;Validé;2026-01-07;2026-02-13;;2025-12-05 12:02:28.447258+01:00;Place Bénédict Tessier, côté est (Lyon 5e Arrondissement);Lyon 5ème;69385;;;;200033
202512539;DCE / RT / Rive Droite Nord;Émergences et autres équipements eau pluviale;Construction / Suppression Ouvrage de recueillis avec branchement;Validé;2026-01-05;2026-02-27;;2025-12-05 12:02:28.200656+01:00;11 Rue de l'Oratoire (Caluire-et-Cuire);Caluire et Cuire;69034;04 28 67 54 50;;;200036
202512575;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Validé;2026-01-05;2026-01-22;;2025-12-05 12:02:28.525654+01:00;1-9 Rue Sigismond Brissy (Bron);Bron;69029;;;www.enedis.fr/aide_contact;200039
202512587;ENEDIS;Construction, renouvellement et réparation réseau électrique;Aménagement, renouvellement réseau BTA avec branchement;Validé;2026-01-05;2026-01-23;;2025-12-05 12:02:27.699522+01:00;Rue Léon Blum (Villeurbanne);Villeurbanne;69266;;;www.enedis.fr/aide_contact;200040
202510271;IZIVIA FMET 1;Aménagement pour l'Autopartage ou Véhicules Électriques;Création / Entretien / Dépose de borne de rechargement;Validé;2025-11-12;2025-12-30;;2025-12-16 15:02:03.055395+01:00;Rue Saint Lazare (Lyon 7e Arrondissement);Lyon 7ème;69387;;;;198648
202512621;ENEDIS;Construction, renouvellement et réparation réseau électrique;Aménagement, renouvellement réseau HTA;Validé;2026-01-05;2026-02-13;;2025-12-16 15:02:03.941013+01:00;Chemin du Pelleru + traversé Rue François Peissel (Caluire-et-Cuire)  " HTA BT";Caluire et Cuire;69034;;;www.enedis.fr/aide_contact;200041
202512678;TSU / TE / VTPE-E1;Création et entretien de trottoir;Création / aménagement de trottoir;Validé;2026-01-06;2026-02-26;;2025-12-05 12:02:27.546000+01:00;34 Rue Nationale (Jonage);Jonage;69279;04 28 67 51 40;;;200045
202512735;ENEDIS;Branchements réseau électrique < 25 ml;Construction de branchement électrique < 25 ml;Validé;2026-01-06;2026-01-20;;2025-12-05 12:02:27.760921+01:00;18 Rue de Combemore (Irigny);Irigny;69100;;;www.enedis.fr/aide_contact;200047
202512769;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Branchements eau potable < à 25 ml;Construction branchement eau potable < 25 ml;Validé;2026-01-05;2026-01-23;;2025-12-05 12:02:27.619150+01:00;Du 7 au 9 Esplanade Agnès Varda (Villeurbanne);Villeurbanne;69266;09 69 39 69 99;;;200050
202510324;ENEDIS;Branchements réseau électrique > 25 ml;Construction de branchement électrique > 25 ml;Ouvert;2025-12-01;2025-12-19;;2025-12-03 09:02:19.574534+01:00;Raccordement ilot B ZAC Grattes Ciel - Traversée Rue Francis de Pressensé au niveau du 106 (Villeurbanne);Villeurbanne;69266;;;www.enedis.fr/aide_contact;197229
202512797;SAINTE FOY LÈS LYON-Intervenant;Construction, renouvellement et réparation réseau Eclairage Public;Réparation de réseau éclairage public;Validé;2026-01-05;2026-02-28;;2025-12-05 12:02:27.705237+01:00;Avenue Valioud, au droit de l'église (Sainte-Foy-lès-Lyon);Sainte Foy les Lyon;69202;;;;200052
202512818;EAU DU GRAND LYON - LA REGIE TRAVAUX PROGRAMMABLES;Branchements eau potable < à 25 ml;Construction branchement eau potable < 25 ml;Validé;2026-01-05;2026-02-13;;2025-12-05 12:02:27.502657+01:00;15 Chemin de Roty (Lissieu);Lissieu;69117;09 69 39 69 99;;;200053
